method,parameters,npoints,execution_time,timestamp
ANM,,10,0.0145871639251708,2025-11-21T16:41:52Z
ANM,,27,0.0034005641937255,2025-11-21T16:41:52Z
ANM,,55,0.0029935836791992,2025-11-21T16:41:52Z
ANM,,103,0.007176399230957,2025-11-21T16:41:52Z
ANM,,185,0.0152573585510253,2025-11-21T16:41:52Z
ANM,,324,0.01485276222229,2025-11-21T16:41:52Z
ANM,,560,0.0538330078125,2025-11-21T16:41:52Z
ANM,,962,0.1512532234191894,2025-11-21T16:41:53Z
ANM,,1645,0.4164013862609863,2025-11-21T16:41:53Z
ANM,,2806,1.3803434371948242,2025-11-21T16:41:54Z
ANM,,4780,4.491533279418945,2025-11-21T16:41:59Z
ANM,,8136,15.769592046737673,2025-11-21T16:42:15Z
ANM,,13841,61.867085218429565,2025-11-21T16:43:16Z
ANM,,23539,212.3599681854248,2025-11-21T16:46:49Z
IGCI,,10,0.0098841190338134,2025-11-21T17:02:15Z
IGCI,,27,0.0,2025-11-21T17:02:15Z
IGCI,,55,0.0,2025-11-21T17:02:15Z
IGCI,,103,0.0,2025-11-21T17:02:15Z
IGCI,,185,0.0032384395599365,2025-11-21T17:02:15Z
IGCI,,324,0.0021662712097167,2025-11-21T17:02:15Z
IGCI,,560,0.0,2025-11-21T17:02:15Z
IGCI,,962,0.0,2025-11-21T17:02:15Z
IGCI,,1645,0.0,2025-11-21T17:02:15Z
IGCI,,2806,0.0101020336151123,2025-11-21T17:02:15Z
IGCI,,4780,0.0,2025-11-21T17:02:15Z
IGCI,,8136,0.0085318088531494,2025-11-21T17:02:15Z
IGCI,,13841,0.0109405517578125,2025-11-21T17:02:15Z
IGCI,,23539,0.0110754966735839,2025-11-21T17:02:15Z
IGCI,,40026,0.0170471668243408,2025-11-21T17:02:15Z
IGCI,,68054,0.0313234329223632,2025-11-21T17:02:16Z
IGCI,,115701,0.0603880882263183,2025-11-21T17:02:16Z
IGCI,,196701,0.1139259338378906,2025-11-21T17:02:16Z
IGCI,,209673,0.1057486534118652,2025-11-21T17:02:16Z
ROCHE,,10,10.287906646728516,2025-11-24 20:10:08
ROCHE,,27,10.40907883644104,2025-11-24 20:10:19
ROCHE,,55,11.764172315597534,2025-11-24 20:10:31
ROCHE,,103,12.33884048461914,2025-11-24 20:10:43
ROCHE,,185,16.22795295715332,2025-11-24 20:10:59
ROCHE,,324,21.256527423858643,2025-11-24 20:11:20
ROCHE,,560,27.57845187187195,2025-11-24 20:11:48
ROCHE,,962,37.102736473083496,2025-11-24 20:12:25
ROCHE,,1645,64.34158897399902,2025-11-24 20:13:29
ROCHE,,2806,86.9282820224762,2025-11-24 20:14:56
ROCHE,,4780,137.43074917793274,2025-11-24 20:17:14
ROCHE,,8136,282.7074794769287,2025-11-24 20:21:57
FOM,,10,0.4165101051330566,2025-11-25 19:31:25
FOM,,27,0.2169609069824218,2025-11-25 19:31:26
FOM,,55,0.292534589767456,2025-11-25 19:31:26
FOM,,103,0.4435856342315674,2025-11-25 19:31:26
FOM,,185,0.8330297470092773,2025-11-25 19:31:27
FOM,,324,1.9713492393493648,2025-11-25 19:31:29
FOM,,560,6.7986485958099365,2025-11-25 19:45:55
CGNN,,27,368.9587047100067,2025-11-25 21:10:20
FOM,,962,6.2815101146698,2025-11-25 21:17:01
FOM,,1645,4.398785829544067,2025-11-25 21:17:06
FOM,,2806,6.132039785385132,2025-11-25 21:17:12
FOM,,4780,6.18015193939209,2025-11-25 21:17:18
FOM,,8136,4.761667013168335,2025-11-25 21:17:23
FOM,,13841,4.749102115631104,2025-11-25 21:17:28
FOM,,23539,4.782231330871582,2025-11-25 21:17:32
FOM,,40026,6.381693363189697,2025-11-25 21:17:39
FOM,,68054,4.537405729293823,2025-11-25 21:17:43
FOM,,115701,4.723398208618164,2025-11-25 21:17:48
FOM,,196701,4.448575735092163,2025-11-25 21:17:53
FOM,,209673,4.949120044708252,2025-11-25 21:17:57
HECI,,10,0.0,2025-11-25 21:17:58
HECI,,27,0.0,2025-11-25 21:17:58
HECI,,55,0.0,2025-11-25 21:17:58
HECI,,103,0.0,2025-11-25 21:17:58
HECI,,185,0.0029041767120361,2025-11-25 21:17:58
HECI,,324,0.0132014751434326,2025-11-25 21:17:58
HECI,,560,0.0,2025-11-25 21:17:58
HECI,,962,0.0155267715454101,2025-11-25 21:17:58
HECI,,1645,0.0166375637054443,2025-11-25 21:17:58
HECI,,2806,0.0207889080047607,2025-11-25 21:17:58
HECI,,4780,0.0123152732849121,2025-11-25 21:17:58
HECI,,8136,0.035724401473999,2025-11-25 21:17:58
HECI,,13841,0.0311698913574218,2025-11-25 21:17:58
HECI,,23539,0.0533936023712158,2025-11-25 21:17:58
HECI,,40026,0.1005923748016357,2025-11-25 21:17:58
HECI,,68054,0.1477930545806884,2025-11-25 21:17:58
HECI,,115701,0.2109346389770507,2025-11-25 21:17:59
HECI,,196701,0.4659404754638672,2025-11-25 21:17:59
HECI,,209673,0.485959529876709,2025-11-25 21:18:00
LCube,,10,0.0,2025-11-25 21:18:00
LCube,,27,0.0,2025-11-25 21:18:00
LCube,,55,0.0,2025-11-25 21:18:00
LCube,,103,0.0020062923431396,2025-11-25 21:18:00
LCube,,185,0.0006492137908935,2025-11-25 21:18:00
LCube,,324,0.0,2025-11-25 21:18:00
LCube,,560,0.0,2025-11-25 21:18:00
LCube,,962,0.0192534923553466,2025-11-25 21:18:00
LCube,,1645,0.0119988918304443,2025-11-25 21:18:00
LCube,,2806,0.0243685245513916,2025-11-25 21:18:00
LCube,,4780,0.008371353149414,2025-11-25 21:18:00
LCube,,8136,0.0377497673034668,2025-11-25 21:18:00
LCube,,13841,0.0684967041015625,2025-11-25 21:18:01
LCube,,23539,0.0603177547454834,2025-11-25 21:18:01
LCube,,40026,0.0916943550109863,2025-11-25 21:18:01
LCube,,68054,0.1001145839691162,2025-11-25 21:18:01
LCube,,115701,0.31630539894104,2025-11-25 21:18:01
LCube,,196701,0.7332186698913574,2025-11-25 21:18:02
LCube,,209673,0.8662865161895752,2025-11-25 21:18:03
LOCI,,10,11.21037220954895,2025-11-25 21:18:14
LOCI,,27,13.23365879058838,2025-11-25 21:18:28
LOCI,,55,13.946406602859495,2025-11-25 21:18:42
LOCI,,103,15.138224840164185,2025-11-25 21:18:57
LOCI,,185,16.83096718788147,2025-11-25 21:19:13
LOCI,,324,19.34476518630981,2025-11-25 21:19:33
LOCI,,560,22.65601825714112,2025-11-25 21:19:55
LOCI,,962,30.07429027557373,2025-11-25 21:20:26
LOCI,,1645,44.879558801651,2025-11-25 21:21:10
LOCI,,2806,70.84050345420837,2025-11-25 21:22:21
LOCI,,4780,116.45598316192628,2025-11-25 21:24:18
LOCI,,8136,230.7411365509033,2025-11-25 21:28:08
LOCI,,13841,501.8401479721069,2025-11-25 21:36:30
LOCI,,23539,1283.2020919322968,2025-11-25 21:57:54
CDCI,,10,0.0,2025-12-01 16:24:49
CDCI,,27,0.0,2025-12-01 16:24:49
CDCI,,55,0.0,2025-12-01 16:24:49
CDCI,,103,0.0010042190551757,2025-12-01 16:24:49
CDCI,,185,0.0012798309326171,2025-12-01 16:24:49
CDCI,,324,0.0010015964508056,2025-12-01 16:24:50
CDCI,,560,0.0,2025-12-01 16:24:50
CDCI,,962,0.0,2025-12-01 16:24:50
CDCI,,1645,0.0020077228546142,2025-12-01 16:24:50
CDCI,,2806,0.0033621788024902,2025-12-01 16:24:50
CDCI,,4780,0.0032594203948974,2025-12-01 16:24:50
CDCI,,8136,0.0057497024536132,2025-12-01 16:24:50
CDCI,,13841,0.0062460899353027,2025-12-01 16:24:50
CDCI,,23539,0.0095548629760742,2025-12-01 16:24:50
CDCI,,40026,0.0145554542541503,2025-12-01 16:24:50
CDCI,,68054,0.027419090270996,2025-12-01 16:24:50
CDCI,,115701,0.0409927368164062,2025-12-01 16:24:50
CDCI,,196701,0.0836603641510009,2025-12-01 16:24:50
CDCI,,209673,0.0786762237548828,2025-12-01 16:24:50
CDS,,10,0.0,2025-12-01 16:24:50
CDS,,27,0.0,2025-12-01 16:24:50
CDS,,55,0.009303331375122,2025-12-01 16:24:50
CDS,,103,0.0,2025-12-01 16:24:50
CDS,,185,0.0304703712463378,2025-12-01 16:24:50
CDS,,324,0.0245773792266845,2025-12-01 16:24:50
CDS,,560,0.0346770286560058,2025-12-01 16:24:50
CDS,,962,0.023982286453247,2025-12-01 16:24:50
CDS,,1645,0.0479929447174072,2025-12-01 16:24:50
CDS,,2806,0.0354571342468261,2025-12-01 16:24:50
CDS,,4780,0.0505986213684082,2025-12-01 16:24:51
CDS,,8136,0.0831186771392822,2025-12-01 16:24:51
CDS,,13841,0.1061737537384033,2025-12-01 16:24:51
CDS,,23539,0.1417505741119384,2025-12-01 16:24:51
CDS,,40026,0.2332100868225097,2025-12-01 16:24:51
CDS,,68054,0.369741678237915,2025-12-01 16:24:51
CDS,,115701,0.5909218788146973,2025-12-01 16:24:52
CDS,,196701,1.002333164215088,2025-12-01 16:24:53
CDS,,209673,1.065166711807251,2025-12-01 16:24:54
NNCL,,10,0.0026769638061523,2025-12-01 16:24:55
NNCL,,27,0.0093622207641601,2025-12-01 16:24:55
NNCL,,55,0.0,2025-12-01 16:24:55
NNCL,,103,0.0,2025-12-01 16:24:55
NNCL,,185,0.0063002109527587,2025-12-01 16:24:55
NNCL,,324,0.0065171718597412,2025-12-01 16:24:55
NNCL,,560,0.0049293041229248,2025-12-01 16:24:55
NNCL,,962,0.0126972198486328,2025-12-01 16:24:55
NNCL,,1645,0.0,2025-12-01 16:24:55
NNCL,,2806,0.0249221324920654,2025-12-01 16:24:55
NNCL,,4780,0.0201473236083984,2025-12-01 16:24:55
NNCL,,8136,0.0298278331756591,2025-12-01 16:24:55
NNCL,,13841,0.0333349704742431,2025-12-01 16:24:55
NNCL,,23539,0.0709993839263916,2025-12-01 16:24:55
NNCL,,40026,0.111551284790039,2025-12-01 16:24:55
NNCL,,68054,0.1996564865112304,2025-12-01 16:24:55
NNCL,,115701,0.3508293628692627,2025-12-01 16:24:55
NNCL,,196701,0.6776623725891113,2025-12-01 16:24:56
NNCL,,209673,0.7330467700958252,2025-12-01 16:24:57
RECI,,10,0.0,2025-12-01 16:24:57
RECI,,27,0.0158479213714599,2025-12-01 16:24:57
RECI,,55,0.0,2025-12-01 16:24:57
RECI,,103,0.0,2025-12-01 16:24:57
RECI,,185,0.0,2025-12-01 16:24:57
RECI,,324,0.0077688694000244,2025-12-01 16:24:57
RECI,,560,0.0039551258087158,2025-12-01 16:24:57
RECI,,962,0.0020084381103515,2025-12-01 16:24:57
RECI,,1645,0.0020084381103515,2025-12-01 16:24:57
RECI,,2806,0.0027167797088623,2025-12-01 16:24:57
RECI,,4780,0.0,2025-12-01 16:24:57
RECI,,8136,0.0,2025-12-01 16:24:57
RECI,,13841,0.0040686130523681,2025-12-01 16:24:57
RECI,,23539,0.0049998760223388,2025-12-01 16:24:57
RECI,,40026,0.0083069801330566,2025-12-01 16:24:57
RECI,,68054,0.0094234943389892,2025-12-01 16:24:57
RECI,,115701,0.0318083763122558,2025-12-01 16:24:57
RECI,,196701,0.0405490398406982,2025-12-01 16:24:58
RECI,,209673,0.0407080650329589,2025-12-01 16:24:58
CGNN,,10,275.70169854164124,2025-12-01 16:31:24
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",10,3.3229658603668213,2025-12-01 17:33:50
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",27,3.609140634536743,2025-12-01 17:33:54
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",55,7.197397470474243,2025-12-01 17:34:01
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",103,12.289885759353638,2025-12-01 17:34:13
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",185,17.56202244758606,2025-12-01 17:34:31
CGNN,"{""nruns"": 3,""test_epochs"": 5,""train_epochs"": 20}",324,31.60295867919922,2025-12-01 17:35:02
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",10,0.9973227977752686,2025-12-01 17:35:36
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",27,2.2168540954589844,2025-12-01 17:35:38
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",55,4.715435743331909,2025-12-01 17:35:42
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",103,7.499696254730225,2025-12-01 17:35:50
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",185,11.897093296051024,2025-12-01 17:36:02
CGNN,"{""nruns"": 4,""test_epochs"": 2,""train_epochs"": 10}",324,22.41638207435608,2025-12-01 17:36:24
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",10,0.644834041595459,2025-12-01 17:37:04
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",27,1.3763856887817383,2025-12-01 17:37:05
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",55,2.858863115310669,2025-12-01 17:37:08
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",103,5.870331764221191,2025-12-01 17:37:14
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",185,11.421979188919067,2025-12-01 17:37:25
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",324,19.263315677642822,2025-12-01 17:37:44
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",560,35.46918249130249,2025-12-01 17:38:20
CGNN,"{""nruns"": 3,""test_epochs"": 2,""train_epochs"": 10}",962,59.72032642364502,2025-12-01 17:39:20
